,yyyy,mm,tmax,tmin,af,rain,sun
127,1863,8,---, ---, ---,88.9, ---
128,1863,9,---, ---, ---,99.3, ---
129,1863,10,---, ---, ---,144.5, ---
130,1863,11,---, ---, ---,78, ---
131,1863,12,---, ---, ---,52, ---
132,1864,1,---, ---, ---,46.3, ---
133,1864,2,---, ---, ---,35.6, ---
134,1864,3,---, ---, ---,58.6, ---
135,1864,4,---, ---, ---,50.2, ---
136,1864,5,---, ---, ---,47.2, ---
137,1864,6,---, ---, ---,57.8, ---
138,1864,7,---, ---, ---,43.5, ---
139,1864,8,---, ---, ---,56.4, ---
140,1864,9,---, ---, ---,71.6, ---
141,1864,10,---, ---, ---,63.2, ---
142,1864,11,---, ---, ---,144.1, ---
143,1864,12,---, ---, ---,53.9, ---
144,1865,1,---, ---, ---,73.9, ---
145,1865,2,---, ---, ---,114.3, ---
146,1865,3,---, ---, ---,59, ---
147,1865,4,14.8,5.5,0,25.7, ---
148,1865,5,15.7,8,0,108.9, ---
149,1865,6,21,11.6,0,16, ---
150,1865,7,20.5,12.5,0,51.8, ---
151,1865,8,19,11.4,0,88, ---
152,1865,9,20.4,11.6,0,12.4, ---
153,1865,10,13.7,6.8,0,139.8, ---
154,1865,11,9.6,3.1,2,52.3, ---
155,1865,12,9.7,4.9,0,90.8, ---
156,1866,1,8.2,2.5,4,110.4, ---
157,1866,2,7.7,0.9,8,64, ---
158,1866,3,8.3,1.7,12,66.6, ---
159,1866,4,12.2,4.6,1,52.9, ---
160,1866,5,15,5.7,0,40.2, ---
161,1866,6,18.5,10.5,0,48, ---
162,1866,7,19.9,12,0,62.4, ---
163,1866,8,17.9,10.6,0,92.5, ---
164,1866,9,15.1,7.6,0,99.3, ---
165,1866,10,13.5,7.2,0,56, ---
166,1866,11,10.2,4.4,0,85, ---
167,1866,12,9.5,3.4,3, ---, ---
168,1867,1,4.2,-2.2,18,121, ---
169,1867,2,9.8,4.1,0,93.6, ---
170,1867,3,7,0.5,13,56.1, ---
171,1867,4,12.8,5.9,0,134.2, ---
172,1867,5,15.4,7.5,0,107.6, ---
173,1867,6,18.9,10.8,0,23.2, ---
174,1867,7,19.6,11,0,108.4, ---
175,1867,8,19.9,12.2,0,68.1, ---
176,1867,9,17.1,9.7,0,35.4, ---
177,1867,10,12.8,6.6,0,125.2, ---
178,1867,11,9,3.3,4,25, ---
179,1867,12,7.8,2.4,9,55.6, ---
180,1868,1,7.3,1.9,7,138.2, ---
181,1868,2,9.9,3.5,3,96.8, ---
182,1868,3,11.2,4.1,1,128.1, ---
183,1868,4,14.1,5.6,0,76.7, ---
184,1868,5,16.9,8.1,0,47.8, ---
185,1868,6,19.9,10.7,0,28.8, ---
186,1868,7,22.9,13,0,29.3, ---
