,yyyy,mm,tmax,tmin,af,rain,sun
603,1903,4,10.5,2.9,7,40.5, ---
604,1903,5,14.6,6.3,0,67.7, ---
605,1903,6,16.8,8.1,0,27.6, ---
606,1903,7,18.3,10.4,0,84.3, ---
607,1903,8,17.3,9.4,0,104.8, ---
608,1903,9,16.1,8.8,0,84.8, ---
609,1903,10,12.4,6.7,0,95.7, ---
610,1903,11,9.3,3.2,5,46.3, ---
611,1903,12,6,1.5,6,60, ---
612,1904,1,6.9,2.1,3,76.2, ---
613,1904,2,6,0.9,9,78.6, ---
614,1904,3,8.3,1.6,8,59.2, ---
615,1904,4,12.3,4.3,0,54.5, ---
616,1904,5,14.3,6,0,59.3, ---
617,1904,6,17.6,8.9,0,36.9, ---
618,1904,7,19.2,11.2,0,95.8, ---
619,1904,8,17.9,9.9,0,120.3, ---
620,1904,9,16,8.1,0,72.2, ---
621,1904,10,13.3,5.9,0,24.8, ---
622,1904,11,9.1,3.6,7,58.1, ---
623,1904,12,7.3,2,6,48.9, ---
624,1905,1,7.6,3.2,1,59.8, ---
625,1905,2,8,2.1,6,44, ---
626,1905,3,10.1,2.3,2,90.6, ---
627,1905,4,10.8,3.1,3,54.7, ---
628,1905,5,16,6,0,41.7, ---
629,1905,6,19.1,9.8,0,72.2, ---
630,1905,7,20.2,11.6,0,44.3, ---
631,1905,8,17.5,9.9,0,167.5, ---
632,1905,9,15.4,7.8,0,41.2, ---
633,1905,10,11.3,3.8,6,40.3, ---
634,1905,11,8,1.4,8,59.5, ---
635,1905,12,8.9,4.8,1,48.4, ---
636,1906,1,7.6,2.7,4,84.4, ---
637,1906,2,6.6,-0.2,17,62.7, ---
638,1906,3,9.1,1.7,8,42.5, ---
639,1906,4,12,1.9,5,51.5, ---
640,1906,5,13.3,5.8,0,95.5, ---
641,1906,6,18.5,9.3,0,26.1, ---
642,1906,7,19,9.9,0,50.1, ---
643,1906,8,19.8,12,0,89.7, ---
644,1906,9,18,8.1,0,33.1, ---
645,1906,10,13,5.6,2,108.8, ---
646,1906,11,9.9,4.5,1,50, ---
647,1906,12,6.4,1.8,7,71.8, ---
648,1907,1,7.1,2.4,8,19.1, ---
649,1907,2,6.6,0.5,14,49.3, ---
650,1907,3,11,3.4,1,70, ---
651,1907,4,11.2,3.2,3,64.1, ---
652,1907,5,13.7,5.6,1,95.1, ---
653,1907,6,15.2,7.8,0,111.4, ---
654,1907,7,19.2,10.3,0,55.8, ---
655,1907,8,17.3,9.2,0,75.8, ---
656,1907,9,17.6,9.3,0,20.7, ---
657,1907,10,12,6,1,104.1, ---
658,1907,11,8.9,2.7,5,63.1, ---
659,1907,12,7.2,2.1,8,61.4, ---
660,1908,1,6.9,1.3,9,61.6, ---
661,1908,2,8.7,3.3,2,52, ---
662,1908,3,8.5,1.3,8,102.2, ---
663,1908,4,10.5,1.7,7,62.4, ---
664,1908,5,16.2,7.6,0,59.7, ---
665,1908,6,18.1,8.8,0,45.2, ---
666,1908,7,19.2,11.1,0,96.1, ---
667,1908,8,18.1,9.8,0,60.4, ---
668,1908,9,16.1,8.9,0,107.3, ---
669,1908,10,15.3,8.5,1,46.2, ---
670,1908,11,11.1,4.4,2,76.4, ---
671,1908,12,8.2,2.7,5,69.9, ---
672,1909,1,7.3,2.7,3,61.6, ---
673,1909,2,7.7,2.3,5,35.5, ---
674,1909,3,7.2,0.5,14,64.8, ---
675,1909,4,12.6,4,0,78.1, ---
676,1909,5,15.5,5.7,2,45.1, ---
677,1909,6,16.4,7.5,0,53.9, ---
678,1909,7,17.6,10,0,71, ---
679,1909,8,19.3,10.4,0,51.6, ---
680,1909,9,15.7,7.2,0,47, ---
681,1909,10,12.6,5.6,4,125.8, ---
682,1909,11,8.4,0.4,13,23.3, ---
683,1909,12,5.9,0.8,11,76.3, ---
684,1910,1,6.4,1.1,11,65.1, ---
685,1910,2,8,1.4,8,126.5, ---
686,1910,3,9.9,2.8,2,28.6, ---
687,1910,4,10.9,2.8,1,61.1, ---
688,1910,5,15.1,6.1,0,51.8, ---
689,1910,6,18,9.7,0,112.2, ---
690,1910,7,18.7,9.8,0,79.8, ---
691,1910,8,18.3,10.9,0,106.1, ---
692,1910,9,16.5,8.2,0,27.8, ---
693,1910,10,13.4,6.9,0,34.1, ---
694,1910,11,7.5,0.6,13,42.8, ---
695,1910,12,8.2,3.5,3,92, ---
696,1911,1,7.3,2.1,6,27.3, ---
697,1911,2,8.1,1.4,5,75.8, ---
698,1911,3,8.9,1.5,7,24.8, ---
699,1911,4,11.6,3.4,3,62.3, ---
700,1911,5,16.8,7,0,44.2, ---
701,1911,6,18,8.1,0,39.2, ---
702,1911,7,20.9,11.4,0,75, ---
703,1911,8,20.9,11.3,0,36.5, ---
704,1911,9,17.1,8.1,0,38.7, ---
705,1911,10,12.6,5.2,2,73.6, ---
706,1911,11,8.3,2.4,4,72.9, ---
707,1911,12,7.8,2.9,2,132, ---
708,1912,1,6.6,1.5,11,93.4, ---
709,1912,2,8,1.9,7,74.2, ---
710,1912,3,10.4,3.6,0,84.8, ---
711,1912,4,13.4,4.6,1,49.5, ---
712,1912,5,15.5,6.4,0,35.5, ---
713,1912,6,16.8,9.2,0,121.6, ---
714,1912,7,18,9.3,0,70.5, ---
715,1912,8,15.5,7.6,0,152.9, ---
716,1912,9,14.8,7.1,0,22.9, ---
717,1912,10,12.1,4.3,5,28.8, ---
718,1912,11,9.2,3.8,6,64.7, ---
719,1912,12,9.1,3,3,111.7, ---
720,1913,1,7.2,2.1,6,94, ---
721,1913,2,8.2,2.5,1,25.8, ---
722,1913,3,8.9,1.9,6,77.6, ---
723,1913,4,11.7,3.6,0,84.9, ---
724,1913,5,14.2,6.3,0,96.4, ---
725,1913,6,16.8,8.5,0,101.4, ---
726,1913,7,18.1,9.6,0,39.7, ---
727,1913,8,19.4,9.6,0,24.5, ---
728,1913,9,16.9,9.1,0,105.4, ---
729,1913,10,13.8,7.3,2,94.8, ---
730,1913,11,10.9,4.7,0,74.9, ---
731,1913,12,7.3,2.4,4,73.3, ---
732,1914,1,6.9,2.2,6,35, ---
733,1914,2,9.9,3.3,1,74.4, ---
734,1914,3,9.4,1.8,9,102.7, ---
735,1914,4,14,4.6,0,33.1, ---
736,1914,5,14.8,6,1,33.9, ---
737,1914,6,18.6,8.8,0,54.4, ---
738,1914,7,19.1,11.1,0,54.3, ---
739,1914,8,19.9,10.8,0,77.5, ---
740,1914,9,16.7,8.7,0,33.9, ---
741,1914,10,13.7,6.8,1,39, ---
742,1914,11,9.6,2.7,6,95.8, ---
743,1914,12,5.3,0.2,12,181.5, ---
744,1915,1,6,1.2,7,72.7, ---
745,1915,2,7,0.1,11,90.3, ---
746,1915,3,9.7,1.6,10,22, ---
747,1915,4,12.5,4.4,0,54.2, ---
748,1915,5,14.4,5.2,3,22.1, ---
749,1915,6,18.4,8.5,0,43.9, ---
750,1915,7,17.9,9.8,0,95, ---
751,1915,8,18.3,10.2,0,71.9, ---
752,1915,9,17.1,8.9,0,37.4, ---
753,1915,10,12.5,5.1,2,57.3, ---
754,1915,11,6.7,0.3,11,43.7, ---
755,1915,12,6.6,1.7,9,131.4, ---
756,1916,1,10.1,4.7,0,75.5, ---
757,1916,2,7,0.2,11,86.4, ---
758,1916,3,6.6,0.5,16,34.2, ---
759,1916,4,12.4,3.6,1,92, ---
760,1916,5,14.3,6,0,147.9, ---
761,1916,6,16.2,6.9,0,56, ---
762,1916,7,19,10.8,0,41.6, ---
763,1916,8,20.4,11.6,0,84.5, ---
764,1916,9,16.7,9.8,0,22.2, ---
765,1916,10,13,7.2,0,138.3, ---
766,1916,11,9.3,4.4,1,89.6, ---
767,1916,12,5.4,0.4,15,61.1, ---
768,1917,1,4.4,0.6,10,42, ---
769,1917,2,6.5,-0.1,16,65.1, ---
770,1917,3,8,1.4,9,69.1, ---
771,1917,4,9.8,1,13,67.1, ---
772,1917,5,15.7,7,0,76.1, ---
773,1917,6,17.5,8.5,0,77.9, ---
774,1917,7,20.1,10.7,0,63.4, ---
775,1917,8,19,11.1,0,116.3, ---
776,1917,9,17.1,9.6,0,48.3, ---
777,1917,10,10.6,3.7,3,107, ---
778,1917,11,10.9,5.6,2,97.8, ---
779,1917,12,6.4,0.8,12,49.3, ---
780,1918,1,6.6,1.4,14,72.1, ---
781,1918,2,9.3,4.8,2,95.5, ---
782,1918,3,10.2,2.4,6,33.1, ---
783,1918,4,11.6,2.6,4,28.2, ---
784,1918,5,16.4,7.2,0,58.7, ---
785,1918,6,18,8.6,0,25.7, ---
786,1918,7,19,9.9,0,82.8, ---
787,1918,8,19.2,11.6,0,64.7, ---
788,1918,9,13.8,6.6,0,138.4, ---
789,1918,10,11.9,5.2,1,98.5, ---
790,1918,11,9.4,2.6,5,105.5, ---
791,1918,12,9.3,4.1,4,90.2, ---
792,1919,1,5.9,1.4,7,104.6, ---
793,1919,2,5.9,0.5,10,23.7, ---
794,1919,3,7.5,-0.9,19,61.8, ---
795,1919,4,12.3,3.5,5,30.9, ---
796,1919,5,17.1,7.9,0,45.6, ---
797,1919,6,17.2,8.4,0,52, ---
798,1919,7,18.8,9.1,0,16, ---
799,1919,8,19.7,10.4,0,82.3, ---
800,1919,9,16.3,7.6,0,80.4, ---
801,1919,10,12.5,5.1,1,37.9, ---
802,1919,11,6.4,-0.4,15,48.9, ---
803,1919,12,8,2.3,3,155.8, ---
804,1920,1,7.9,1.9,7,104.5, ---
805,1920,2,9.5,3.5,3,64.1, ---
806,1920,3,10.1,2.8,3,82.9, ---
807,1920,4,10.9,3.6,3,76.6, ---
808,1920,5,14.8,6.8,0,74.5, ---
809,1920,6,17.8,9.5,0,63.1, ---
810,1920,7,17.4,9.4,0,80.8, ---
811,1920,8,17.4,9.2,0,51.1, ---
812,1920,9,16.6,8.9,0,60, ---
813,1920,10,13.9,7,1,138.5, ---
814,1920,11,11.1,5.4,2,70.3, ---
815,1920,12,6.8,1.2,14,78.9, ---
816,1921,1,9.9,4.4,2,110.6, ---
817,1921,2,8.6,3.2,4,25.4, ---
818,1921,3,10,3,4,62.7, ---
819,1921,4,12.9,3.2,3,25.4, ---
820,1921,5,14.7,5.5,1,53.8, ---
821,1921,6,19.4,9.1,0,7.7, ---
822,1921,7,22,12.2,0,92.4, ---
823,1921,8,17.3,10.1,0,92.1, ---
824,1921,9,17,9.3,0,33, ---
825,1921,10,15.3,8.7,0,72.7, ---
826,1921,11,9.8,4.2,3,72.3, ---
827,1921,12,9.6,4.7,2,84.8, ---
828,1922,1,7.2,1.9,6,84.2, ---
829,1922,2,8.3,2.6,1,69.7, ---
830,1922,3,9,1.3,9,35.7, ---
831,1922,4,9.7,0.2,13,79.7, ---
832,1922,5,16.1,7.3,0,46.4, ---
833,1922,6,16.8,8.4,0,55.2, ---
834,1922,7,16.6,8.8,0,87.8, ---
835,1922,8,16,9.4,0,98.3, ---
836,1922,9,15,7.9,0,70.1, ---
837,1922,10,11.8,5,5,33, ---
838,1922,11,9.6,4.5,4,31.1, ---
839,1922,12,7.6,3.1,3,75.3, ---
840,1923,1,8.9,3.6,2,65.3, ---
841,1923,2,8.9,3.4,1,143, ---
842,1923,3,10.3,3.4,1,37.8, ---
843,1923,4,10.4,3.4,2,83.6, ---
844,1923,5,12.5,4.2,0,36.2, ---
845,1923,6,16.5,8.8,0,27.9, ---
846,1923,7,19.6,11.9,0,50.7, ---
847,1923,8,17.5,10.2,0,122.6, ---
848,1923,9,15.1,7.9,0,89.7, ---
849,1923,10,12.5,6,0,89.9, ---
850,1923,11,6.4,0.4,14,96.6, ---
851,1923,12,7.4,2.4,6,76.9, ---
852,1924,1,7.9,3,4,83.9, ---
853,1924,2,7.4,1.8,7,29.4, ---
854,1924,3,8.2,0.9,10,29.4, ---
855,1924,4,10.9,2,11,65.7, ---
856,1924,5,14.5,6.3,0,104.1, ---
857,1924,6,16.9,9.5,0,61.2, ---
858,1924,7,17.5,10.6,0,120.3, ---
859,1924,8,17.1,10.3,0,113.7, ---
860,1924,9,15.1,8.3,0,132.1, ---
861,1924,10,12.7,5.5,0,71.1, ---
862,1924,11,10.3,4.8,3,67.1, ---
863,1924,12,9.6,4.3,0,101.5, ---
864,1925,1,8.2,3.3,1,57.3, ---
865,1925,2,7.3,1.2,5,92.3, ---
866,1925,3,9.1,2,8,31.2, ---
867,1925,4,11.1,2.4,5,72.4, ---
868,1925,5,13.4,6.2,0,117.3, ---
869,1925,6,18.8,9.2,0,28.1, ---
870,1925,7,19.2,11.6,0,96.9, ---
871,1925,8,19,10.4,0,43.6, ---
872,1925,9,15,7.7,0,67, ---
873,1925,10,13.5,6.9,0,63.2, ---
874,1925,11,7.6,1.2,12,41.3, ---
875,1925,12,6.3,0.7,12,64.3, ---
876,1926,1,8.2,2.6,6,125, ---
877,1926,2,9.2,3.9,3,57, ---
878,1926,3,9.4,2.9,6,37.4, ---
879,1926,4,13.4,5.2,0,46.9, ---
880,1926,5,13.8,5.2,1,71.8, ---
881,1926,6,17.2,8.6,0,68.8, ---
882,1926,7,20.4,11.7,0,81.2, ---
883,1926,8,19.4,10.8,0,83, ---
884,1926,9,17.2,9.3,0,47.3, ---
885,1926,10,11.8,4.1,10,75.8, ---
886,1926,11,8.6,2.4,4,79.8, ---
887,1926,12,7,2.2,7,30.7, ---
888,1927,1,7.6,2.1,6,87.3, ---
889,1927,2,8.9,2.1,7,36.6, ---
890,1927,3,10.2,3.4,4,60.2, ---
891,1927,4,11.5,3.6,3,35.8, ---
892,1927,5,15.4,5.6,0,41, ---
893,1927,6,15.2,6.5,0,77.8, ---
894,1927,7,18.9,11.2,0,67.5, ---
895,1927,8,18.6,11.1,0,115.5, ---
896,1927,9,15,7.8,0,136.1, ---
897,1927,10,14,6.5,1,58.9, ---
898,1927,11,9.3,3,7,88.6, ---
899,1927,12,5.6,1.3,10,47.4, ---
900,1928,1,8.5,1.9,4,125.5, ---
901,1928,2,9.1,3.1,0,101.7, ---
902,1928,3,8.3,2.8,5,82.8, ---
903,1928,4,11.8,3.6,4,47.9, ---
904,1928,5,15.4,6.4,0,21.8, ---
905,1928,6,15.9,7.9,0,110.3, ---
906,1928,7,18.2,10.7,0,43.1, ---
907,1928,8,18.2,9.9,0,174.8, ---
908,1928,9,15.9,7.6,0,55.7, ---
909,1928,10,13,7,0,122.3, ---
910,1928,11,10.2,3.6,5,109.8, ---
911,1928,12,7.6,2,3,64, ---
912,1929,1,5.5,0.5,13,33.2,27.4
913,1929,2,5.7,1.7,10,57.8,37.1
914,1929,3,12.6,0.9,14,32.5,170.4
915,1929,4,10.9,2.4,3,23.6,144.4
916,1929,5,15.4,5.8,0,71.5,192.5
917,1929,6,17.2,7.9,0,47.9,183.8
918,1929,7,19.3,10.4,0,65.5,130
919,1929,8,17.5,10.6,0,141.8,84.8
920,1929,9,17.9,9.9,0,38.1,134.6
921,1929,10,12.2,5.5,2,140.9,115.9
922,1929,11,9.6,3.2,5,90.6,49.8
923,1929,12,7.8,2.1,4,153.9,56
924,1930,1,7.3,1.3,8,104.5,44
925,1930,2,4.8,-1.1,18,22.5,71.9
926,1930,3,8.7,1.6,10,56.6,83.8
927,1930,4,11.8,4,2,40.2,153.1
928,1930,5,15.1,6.3,0,41.4,154.8
929,1930,6,19.1,8.9,0,39.7,237.6
930,1930,7,18.1,11,0,85.2,95.2
931,1930,8,17.5,10.6,0,150.7,106.6
932,1930,9,16.4,8.9,0,76.8,118.7
933,1930,10,12.6,6.7,0,138.1,70.9
934,1930,11,9.1,2.5,7,80.4,65.3
935,1930,12,7.5,2.6,4,66.9,30.2
936,1931,1,6.4,1,11,71,58.6
937,1931,2,7.6,1.1,7,69,53.3
938,1931,3,8.1,1.5,8,35.5,116.8
939,1931,4,11.6,3.8,1,87.8,116
940,1931,5,14.6,6.6,0,94.2,156.4
941,1931,6,17.2,9.8,0,131.2,123.3
942,1931,7,17.8,11.3,0,148.5,81.1
943,1931,8,17.8,9.8,0,52.8,158.9
944,1931,9,15.4,7.9,0,51.5,93.2
945,1931,10,12.8,4.9,5,53.6,108.3
946,1931,11,10.2,4.3,2,120.4,62.3
947,1931,12,8.8,4.7,2,64.9,19.1
948,1932,1,9.8,4.2,3,78,37.6
949,1932,2,7.7,1,11,3.3,73.7
950,1932,3,9.6,1.3,10,47.6,115.8
951,1932,4,10.8,2,4,63.4,155.5
952,1932,5,14.2,6.2,0,70.4,152.8
953,1932,6,19.6,9.1,0,21.9,198.1
954,1932,7,18.9,11.5,0,134.7,113.1
955,1932,8,18.8,11,0,66.2,104.7
956,1932,9,15.5,7.8,1,80.1,105.6
957,1932,10,12,4.7,1,72.8,107.2
958,1932,11,9.4,3.7,3,53.1,72.8
959,1932,12,8.4,3.4,3,125.9,46.6
960,1933,1,6.1,0.4,13,56.2,73
961,1933,2,7.4,1.2,12,73.4,57
962,1933,3,11,3.5,1,51.8,124.3
963,1933,4,13.2,5.2,3,22.2,121.3
964,1933,5,15.4,6.8,0,65.7,122.4
965,1933,6,19,10.1,0,55.9,167.3
966,1933,7,20.8,12.5,0,70.1,158.4
967,1933,8,20.2,11.5,0,39.7,148.8
968,1933,9,18.5,9.4,0,4.2,152.2
969,1933,10,13.2,6.7,0,52.1,65.5
970,1933,11,8.6,2.6,4,24.4,67.3
971,1933,12,6.5,1.7,10,42.3,31.9
972,1934,1,8.5,2.9,3,74.5,49.6
973,1934,2,8.4,2.4,6,7,64.8
974,1934,3,8.6,1.2,8,46,114.2
975,1934,4,10.6,2.7,4,66.9,113.3
976,1934,5,14.9,6.5,0,74.9,164
977,1934,6,19.2,9.8,0,36.9,192.5
978,1934,7,22.2,12.2,0,64.6,207.8
979,1934,8,17.6,10.1,0,141,114
980,1934,9,16.6,9.1,0,119.3,129.6
981,1934,10,12.3,6.3,1,117.5,70.2
982,1934,11,8.8,3.5,6,18.2,41.2
983,1934,12,10,6,0,120.5,28.7
984,1935,1,7.8,3.1,4,37.4,33.2
985,1935,2,8.8,2.5,7,85.4,76.6
986,1935,3,10.2,3.5,2,33.2,92.7
987,1935,4,12.1,3.8,0,56.2,162.1
988,1935,5,15.8,5.3,1,22.2,251.6
989,1935,6,17.6,9.7,0,104.6,151.2
990,1935,7,20.2,10.4,0,30.5,193.2
991,1935,8,19.5,10.7,0,73.7,135.2
992,1935,9,16,8.6,0,98.6,110.1
993,1935,10,12.6,5.8,1,88.6,81
994,1935,11,8.6,2.7,4,99.3,81.3
995,1935,12,5.4,0.4,12,60.6,49.2
996,1936,1,5.3,0.5,15,85.2,33.7
997,1936,2,6.6,0.8,10,46.4,74.4
998,1936,3,10.1,4,3,43.4,72.9
999,1936,4,11,1.9,12,15.6,169.6
1000,1936,5,15.5,6.3,0,41,174.4
1001,1936,6,18.6,9.2,0,111,189
1002,1936,7,18.1,11.1,0,152.6,99
1003,1936,8,19.9,11.5,0,46.3,152.7
1004,1936,9,17.1,9.8,0,111.5,106.9
1005,1936,10,13.4,5.9,2,73,92.1
1006,1936,11,8.1,2,8,90.4,49.1
1007,1936,12,8.3,2.8,2,81.3,39.2
1008,1937,1,7.9,2.5,5,116.8,45.1
1009,1937,2,7.9,1.8,5,86.2,69.1
1010,1937,3,7,-0.1,17,58.2,107
1011,1937,4,12.5,5.8,0,57.5,49.1
1012,1937,5,16.6,7.1,0,27.6,197.7
1013,1937,6,17.5,9.2,0,54.4,111.8
1014,1937,7,19,10.9,0,83.1,93.2
1015,1937,8,20.3,11.4,0,74.8,139
1016,1937,9,16.4,8.5,0,60,106.6
1017,1937,10,12.4,5,3,68.8,71.7
1018,1937,11,9.3,3.7,4,32.7,49.5
1019,1937,12,5.7,0.6,11,56.6,35.2
1020,1938,1,8.3,2.5,3,98.2,25.9
1021,1938,2,8.5,2.5,4,31,58.8
1022,1938,3,12.7,6.2,1,25.6,87.6
1023,1938,4,13.6,2.4,5,2.3,195.9
1024,1938,5,14.3,5.8,1,97.8,140.6
1025,1938,6,17.1,8.9,0,91.5,129.3
1026,1938,7,17.9,10.4,0,121.8,96.4
1027,1938,8,19.2,10.2,0,65.6,144.2
1028,1938,9,17.2,9.8,0,55.5,91.1
1029,1938,10,13.3,6.8,0,139.3,88.3
1030,1938,11,11,6.1,0,103.2,54.9
1031,1938,12,7.2,1.2,9,84.8,43.1
1032,1939,1,6,0.4,14,76.7,58.3
1033,1939,2,9.2,3.7,1,51.9,41
1034,1939,3,10.1,3,2,77.4,99.2
1035,1939,4,12.6,4.1,3,61,148.5
1036,1939,5,16.1,6.5,0,30.6,170.1
1037,1939,6,19.3,8.2,0,49.7,233
1038,1939,7,18.5,10.8,0,113.2,95.8
1039,1939,8,19.8,10.9,0,41.3,146.5
1040,1939,9,16.9,9,0,45.8,86.1
1041,1939,10,12.3,4.4,6,92.6,116.3
1042,1939,11,11.1,5.3,0,125.9,51.5
1043,1939,12,6.2,1.4,9,60.4,30
1044,1940,1,4.3,-1.2,17,77.4,56.4
1045,1940,2,7.3,2.2,5,71.7,38.8
1046,1940,3,10.3,2.7,7,99,94.3
1047,1940,4,12.7,5.1,2,75.2,108.1
1048,1940,5,16.6,7,0,23.8,168.3
1049,1940,6,21.4,10,0,40.8,256
1050,1940,7,18.1,9.6,0,134.7,121.7
1051,1940,8,19.7,10.7,0,13.8,115.6
1052,1940,9,16.4,7.7,0,66.5,108
1053,1940,10,12.4,6.6,1,109,59.1
1054,1940,11,9.9,3.4,3,71.9,71.5
1055,1940,12,7.1,1.2,8,91.6,26.3
1056,1941,1,3.4,-1.5,17,41.8,42.8
1057,1941,2,7.3,-0.2,15,75.1,89.9
1058,1941,3,9.3,4.1,0,89.4,112.6
1059,1941,4,9.7,4.1,2,42.1,113.5
1060,1941,5,14.6,4.6,2,60.7,166.9
1061,1941,6,18.8,9.6,0,15.7,139.3
1062,1941,7,19.2,11.2,0,73.6,105.6
1063,1941,8,18.5,10,0,101.7,141.1
1064,1941,9,19,10.8,0,26,107.4
1065,1941,10,14.4,6.8,2,91.3,97.3
1066,1941,11,9.9,3.6,2,94.7,61.5
1067,1941,12,8.8,3.8,3,39.3,29.1
1068,1942,1,6.8,1.4,9,123.7,59.8
1069,1942,2,6,-0.2,13,30.2,65.6
1070,1942,3,9.7,2.8,7,75,80.2
1071,1942,4,13.3,4.5,0,57.6,203.5
1072,1942,5,15.5,6.1,0,81,212
1073,1942,6,18.9,9,0,4.6,174
1074,1942,7,18.9,10.5,0,113.4,141
1075,1942,8,18.6,11.4,0,108,83.8
1076,1942,9,16,9.2,1,105.8,114.2
1077,1942,10,12.6,6,1,56.4,80.5
1078,1942,11,9.3,2,7,13.4,68.5
1079,1942,12,9.9,4.4,2,98,28.4
1080,1943,1,8.1,3.2,4,99.4,62.8
1081,1943,2,10,3.9,0,46.4,78.8
1082,1943,3,10.6,3.8,1,29.7,114.7
1083,1943,4,14,6.1,0,35.3,119.7
1084,1943,5,15.7,5.8,1,85.6,217.3
1085,1943,6,18.6,9.4,0,76.5,188
1086,1943,7,20.4,10.7,0,66.2,196.5
1087,1943,8,18,10.7,0,100.9,109.7
1088,1943,9,16,8.7,0,52,97.2
1089,1943,10,13.9,7.2,0,70.5,92.9
1090,1943,11,9.7,3.4,4,57.3,54.4
1091,1943,12,7.4,2.6,3,56.3,22.9
1092,1944,1,9.2,4.3,1,54.7,30.9
1093,1944,2,8.1,1.2,6,24,83.8
1094,1944,3,10.8,1.6,10,20.3,114.3
1095,1944,4,14.6,6.1,1,50.4,123.6
1096,1944,5,15.8,6.6,0,41.6,148.4
1097,1944,6,17.2,8.5,0,99,99.7
1098,1944,7,19.1,12.1,0,66.3,84.5
1099,1944,8,20.3,11.2,0,102,151
1100,1944,9,15.9,7.9,0,105.4,111.7
1101,1944,10,12.3,5.5,0,111,84.8
1102,1944,11,9.1,3,5,120.2,46.3
1103,1944,12,7.4,2.1,3,103.6,28.6
1104,1945,1,4.2,-1.9,18,52.3,42.9
1105,1945,2,10.7,4.6,2,67.9,58.8
1106,1945,3,12.3,5.5,1,33.3,88.2
1107,1945,4,14.3,5.5,1,39.5,166.8
1108,1945,5,16,6.5,2,89.2,145
1109,1945,6,17.7,9.7,0,106.2,134.4
1110,1945,7,19.7,11.6,0,88.6,120.8
1111,1945,8,20.3,10.9,0,42.2,143.6
1112,1945,9,18,10.1,0,63.3,96.4
1113,1945,10,14.8,7.8,0,84.9,78.9
1114,1945,11,10.6,4.7,4,12,42
1115,1945,12,9.3,4,2,63.2, ---
1116,1946,1,7,1.3,6,107.8, ---
1117,1946,2,8.9,3.3,6,54.8, ---
1118,1946,3,10.4,2.3,5,27.5, ---
1119,1946,4,14,4,2,21.6, ---
1120,1946,5,15.3,4.8,1,22.6, ---
1121,1946,6,17.2,8.6,0,78.3, ---
1122,1946,7,18.8,10.6,0,79.7, ---
1123,1946,8,17.5,9.4,0,120, ---
1124,1946,9,16.3,9.8,0,149.3, ---
1125,1946,10,12.3,7.2,0,30.5, ---
1126,1946,11,10.2,4.4,3,113.8, ---
1127,1946,12,6.9,0.8,9,97.3, ---
1128,1947,1,6.2,0.9,8,56.3,40.9
1129,1947,2,2.1,-2.1,23,26.6,46.1
1130,1947,3,6.7,0,12,114.7,78.1
1131,1947,4,12.2,4,3,91.4,121.6
1132,1947,5,16,7.7,0,76.5,181.9
1133,1947,6,18.1,10.1,0,95,143.9
1134,1947,7,18.8,10.7,0,82.4, ---
1135,1947,8,23.2,11.7,0,14.2, ---
1136,1947,9,17.5,9.3,0,68.2,101.5
1137,1947,10,14.6,7.7,0,49.2,92.4
1138,1947,11,10.3,3.9,8,101.6,79.7
1139,1947,12,7.1,3.2,5,80.8,21.2
1140,1948,1,6.6,1.3,8,170.8,40.1
1141,1948,2,7.9,2.2,6,46.2,56
1142,1948,3,13.2,4.3,1,66,122.6
1143,1948,4,13.7,4.5,1,63.5,172
1144,1948,5,16.3,5,2,58.2,222.3
1145,1948,6,16.8,8.8,0,110.1,126.4
1146,1948,7,19.1,10.5,0,62,149.5
1147,1948,8,18.2,10.6,0,89,107.7
1148,1948,9,16.5,9.4,0,66.6,97.6
1149,1948,10,13.6,6.4,2,56.8,87.5
1150,1948,11,11.5,5,4,67.2,75.8
1151,1948,12,8.4,2.8,4,114.9,47.9
1152,1949,1,9.3,3.1,5,61.2,43.8
1153,1949,2,9.5,3.1,2,63.9,83.6
1154,1949,3,10.5,2.6,6,53.5,122.1
1155,1949,4,13.7,5.5,1,55.5,139.7
1156,1949,5,15.7,5.6,0,48.2,208.5
1157,1949,6,20.5,9.2,0,24.9,252.9
1158,1949,7,20,11.8,0,69.3,121.9
1159,1949,8,19.4,11.8,0,77,113.4
1160,1949,9,18.8,10.4,0,62.7,153.1
1161,1949,10,14.3,7.9,1,122.9,73.8
1162,1949,11,9.9,3.6,3,61.5,70.1
1163,1949,12,8.5,2.6,3,116.4,30.4
1164,1950,1,8.4,3.3,5,43.3,41.4
1165,1950,2,8.1,1.5,7,73.3,63
1166,1950,3,11.9,3.9,2,27.5,125.6
1167,1950,4,11.3,3.3,3,103.2,130.4
1168,1950,5,16.1,6.6,0,21.6,199
1169,1950,6,19.7,10.2,0,71.9,180.1
1170,1950,7,18.8,11.1,0,120.8,146.2
1171,1950,8,18.2,10.7,0,134.7,136.9
1172,1950,9,15.5,8.3,0,139.2,106.5
1173,1950,10,12.6,6.4,1,91.6,86.2
1174,1950,11,8.2,1.3,7,67,74.8
1175,1950,12,4.1,-0.8,16,67.8,34.8
1176,1951,1,6.6,1.5,9,67.2,55.3
1177,1951,2,6.5,-0.2,12,76.8,78.8
1178,1951,3,7.9,1.1,8,70.7,90.3
1179,1951,4,10.2,3.4,1,43.8,161.8
1180,1951,5,13.8,4.9,0,38.1,196.7
1181,1951,6,18.1,8.4,0,53.6,207.3
1182,1951,7,18.8,11.6,0,85.1,112
